Tuple	:	1000
Dimensi	:	3
1.	-12, -524, 398
2.	-204, 171, -794
3.	-339, -738, 472
4.	224, 913, -135
5.	116, 571, -570
6.	-267, 937, 449
7.	547, 784, 205
8.	938, 614, -134
9.	257, -354, -162
10.	492, 418, 646
11.	-310, 391, -551
12.	-551, 833, 548
13.	-648, 112, 732
14.	563, 262, 621
15.	-337, 860, 736
16.	444, -905, -94
17.	581, 626, -6
18.	628, 169, -150
19.	-347, 643, -849
20.	967, 102, 735
21.	-5, -732, -662
22.	117, 600, -615
23.	-537, -616, -590
24.	-4, -709, -652
25.	776, -206, 121
26.	-326, -279, 913
27.	-662, -73, -38
28.	-387, 723, -47
29.	326, 250, 637
30.	934, 154, 325
31.	967, 961, -168
32.	-614, -764, 772
33.	137, -585, 790
34.	636, 190, -14
35.	-325, 178, -60
36.	562, 431, 419
37.	-820, -706, 81
38.	28, -904, -439
39.	933, -522, -937
40.	10, -584, 423
41.	902, -923, 29
42.	-100, -420, -250
43.	754, 139, 755
44.	141, -591, 577
45.	582, 648, 457
46.	-788, 443, 534
47.	804, 926, -656
48.	-424, -568, -12
49.	662, -43, 744
50.	-518, -555, 105
51.	77, -80, -565
52.	-474, -296, 927
53.	540, 252, -23
54.	23, 842, -887
55.	-544, -1, -903
56.	-82, 200, -59
57.	-915, 420, -924
58.	-885, -587, -433
59.	538, 534, 904
60.	-375, -548, -118
61.	-757, 10, -488
62.	-313, 263, 885
63.	167, -744, -364
64.	-95, -71, 374
65.	984, -659, -635
66.	801, 944, 455
67.	-716, 839, -630
68.	101, -504, 562
69.	-74, -294, 733
70.	409, 385, -815
71.	-733, -210, -947
72.	789, 887, 909
73.	78, 400, 298
74.	603, 883, 252
75.	720, 414, 869
76.	12, 339, 986
77.	-531, -1000, 687
78.	-582, -75, 784
79.	588, 464, 982
80.	-551, 433, -488
81.	841, 39, -79
82.	-877, 476, -987
83.	-831, 231, 149
84.	99, -541, 344
85.	616, -8, -200
86.	548, 595, -677
87.	-990, 531, 316
88.	-44, 629, 262
89.	201, 583, 311
90.	-883, 270, 639
91.	16, 210, 734
92.	-704, -195, 849
93.	-652, -568, -926
94.	-709, 749, -803
95.	-958, -769, 894
96.	-546, 229, -11
97.	-922, 560, -303
98.	-753, 938, 133
99.	-947, 833, -38
100.	-884, 330, 341
101.	580, -595, -271
102.	729, -529, 574
103.	111, -290, 449
104.	-399, 482, 215
105.	-208, -958, -378
106.	809, -746, 592
107.	586, -596, 749
108.	109, -31, 508
109.	943, -465, 427
110.	-272, 8, 362
